2026-03-10 14:29:39, MOVE, v:1, k:ed@princesa, mode:DOWN
2026-03-10 14:29:40, MOVE, v:1, k:ed@apagando, mode:DOWN
2026-03-10 14:29:42, MOVE, v:1, k:ed@buscas, mode:DOWN
2026-03-10 14:29:43, MOVE, v:1, k:ed@rotacoes, mode:DOWN
2026-03-10 14:29:44, MOVE, v:1, k:ed@alternando, mode:DOWN
2026-03-10 14:29:47, MOVE, v:1, k:ed@triangulo, mode:DOWN
2026-03-10 14:29:48, MOVE, v:1, k:ed@treinando, mode:DOWN
2026-03-10 14:29:49, MOVE, v:1, k:ed@resto, mode:DOWN
2026-03-10 14:29:50, MOVE, v:1, k:ed@mdc, mode:DOWN
2026-03-10 14:29:51, MOVE, v:1, k:ed@eh_primo, mode:DOWN
2026-03-10 14:29:53, MOVE, v:1, k:ed@enesimo, mode:DOWN
2026-03-10 14:29:54, MOVE, v:1, k:ed@fractais, mode:DOWN
2026-03-10 14:29:54, MOVE, v:1, k:ed@fractais_png, mode:DOWN
2026-03-10 14:29:55, MOVE, v:1, k:ed@vetequals, mode:DOWN
2026-03-10 14:29:56, MOVE, v:1, k:ed@priminhos, mode:DOWN
2026-03-10 14:29:59, MOVE, v:1, k:ed@queimada, mode:DOWN
2026-03-10 14:30:00, MOVE, v:1, k:ed@ilhas, mode:DOWN
2026-03-10 14:30:01, MOVE, v:1, k:ed@cercado, mode:DOWN
2026-03-10 14:30:01, MOVE, v:1, k:ed@labirinto, mode:DOWN
2026-03-10 14:30:02, MOVE, v:1, k:ed@pintura, mode:DOWN
2026-03-10 14:30:03, MOVE, v:1, k:ed@longest, mode:DOWN
2026-03-10 14:30:04, MOVE, v:1, k:ed@battleship, mode:DOWN
2026-03-10 14:30:07, MOVE, v:1, k:ed@rotten, mode:DOWN
2026-03-10 14:30:08, MOVE, v:1, k:ed@caminho, mode:DOWN
2026-03-10 14:30:09, MOVE, v:1, k:ed@detonate, mode:DOWN
2026-03-10 14:30:09, MOVE, v:1, k:ed@escapeSpread, mode:DOWN
2026-03-10 14:30:11, MOVE, v:1, k:ed@wordsearch, mode:DOWN
2026-03-10 14:30:12, MOVE, v:1, k:ed@subset_sum, mode:DOWN
2026-03-10 14:30:13, MOVE, v:1, k:ed@distancia, mode:DOWN
2026-03-10 14:30:14, MOVE, v:1, k:ed@permutacoes, mode:DOWN
2026-03-10 14:30:15, MOVE, v:1, k:ed@sudoku, mode:DOWN
2026-03-10 14:30:16, MOVE, v:1, k:ed@n_rainhas, mode:DOWN
2026-03-10 14:30:19, MOVE, v:1, k:ed@vetbuild, mode:DOWN
2026-03-10 14:30:20, MOVE, v:1, k:ed@setbuild, mode:DOWN
2026-03-10 14:30:21, MOVE, v:1, k:ed@bettersearch, mode:DOWN
2026-03-10 14:30:21, MOVE, v:1, k:ed@multiset, mode:DOWN
2026-03-10 14:30:22, MOVE, v:1, k:ed@magicsearch, mode:DOWN
2026-03-10 14:30:23, MOVE, v:1, k:ed@iterador, mode:DOWN
2026-03-10 14:30:25, MOVE, v:1, k:ed@lista_d1, mode:DOWN
2026-03-10 14:30:26, MOVE, v:1, k:ed@lista_d2, mode:DOWN
2026-03-10 14:30:27, MOVE, v:1, k:ed@lista_d4, mode:DOWN
2026-03-10 14:30:28, MOVE, v:1, k:ed@prin_list1, mode:DOWN
2026-03-10 14:30:29, MOVE, v:1, k:ed@editor, mode:DOWN
2026-03-10 14:30:30, MOVE, v:1, k:ed@lista_d3, mode:DOWN
2026-03-10 14:30:31, MOVE, v:1, k:ed@prin_list2, mode:DOWN
2026-03-10 14:30:32, MOVE, v:1, k:ed@controlz, mode:DOWN
2026-03-10 14:30:32, MOVE, v:1, k:ed@editorint, mode:DOWN
2026-03-10 14:30:35, MOVE, v:1, k:ed@bufferring, mode:DOWN
2026-03-10 14:30:36, MOVE, v:1, k:ed@fila_enc, mode:DOWN
2026-03-10 14:30:37, MOVE, v:1, k:ed@pilha, mode:DOWN
2026-03-10 14:30:38, MOVE, v:1, k:ed@chaves, mode:DOWN
2026-03-10 14:30:38, MOVE, v:1, k:ed@queimando, mode:DOWN
2026-03-10 14:30:39, MOVE, v:1, k:ed@pilhado, mode:DOWN
2026-03-10 14:30:42, MOVE, v:1, k:ed@serial, mode:DOWN
2026-03-10 14:30:42, MOVE, v:1, k:ed@formatada, mode:DOWN
2026-03-10 14:30:43, MOVE, v:1, k:ed@inverter, mode:DOWN
2026-03-10 14:30:44, MOVE, v:1, k:ed@clonar, mode:DOWN
2026-03-10 14:30:51, MOVE, v:1, k:ed@soma, mode:DOWN
2026-03-10 14:30:56, MOVE, v:1, k:ed@altura, mode:DOWN
2026-03-10 14:30:57, MOVE, v:1, k:ed@compare, mode:DOWN
2026-03-10 14:30:58, MOVE, v:1, k:ed@arvore-path, mode:DOWN
2026-03-10 14:30:59, MOVE, v:1, k:ed@bst_insert, mode:DOWN
2026-03-10 14:30:59, MOVE, v:1, k:ed@bst_serial, mode:DOWN
2026-03-10 14:31:00, MOVE, v:1, k:ed@bst_remove, mode:DOWN
2026-03-10 14:31:34, MOVE, v:1, k:ed@escada, mode:DOWN
2026-03-10 14:31:35, MOVE, v:1, k:ed@binomiais, mode:DOWN
2026-03-10 14:31:35, MOVE, v:1, k:ed@diagonal, mode:DOWN
2026-03-10 14:31:36, MOVE, v:1, k:ed@sufixos, mode:DOWN
2026-03-10 14:31:37, MOVE, v:1, k:ed@padroes1, mode:DOWN
2026-03-10 14:31:37, MOVE, v:1, k:ed@padroes2, mode:DOWN
2026-03-10 14:31:38, MOVE, v:1, k:ed@padroes3, mode:DOWN
2026-03-10 14:31:38, MOVE, v:1, k:ed@quadrado, mode:DOWN
2026-03-10 14:31:40, MOVE, v:1, k:ed@fib1, mode:DOWN
2026-03-10 14:31:42, MOVE, v:1, k:ed@santo, mode:DOWN
2026-03-10 14:31:43, MOVE, v:1, k:ed@bitcoin, mode:DOWN
2026-03-10 14:31:48, MOVE, v:1, k:ed@balanceada, mode:DOWN
2026-03-10 14:31:48, MOVE, v:1, k:ed@caminhao, mode:DOWN
2026-03-10 14:31:49, MOVE, v:1, k:ed@polonesa, mode:DOWN
2026-03-10 14:31:50, MOVE, v:1, k:ed@polonesa, mode:PICK
2026-03-10 14:31:52, MOVE, v:1, k:ed@polonesa, mode:BACK
