2026-03-13 19:05:23, MOVE, v:1, k:ed@fila_enc, mode:BACK
2026-03-13 19:05:25, MOVE, v:1, k:ed@pilha, mode:PICK
2026-03-13 19:05:53, MOVE, v:1, k:ed@pilha, mode:BACK
2026-03-13 19:05:58, MOVE, v:1, k:ed@chaves, mode:PICK
2026-03-13 19:06:50, MOVE, v:1, k:ed@chaves, mode:BACK
2026-03-13 19:06:51, MOVE, v:1, k:ed@queimando, mode:PICK
2026-03-13 19:11:47, MOVE, v:1, k:ed@queimando, mode:BACK
2026-03-13 19:12:07, MOVE, v:1, k:ed@pilhado, mode:PICK
2026-03-13 19:12:48, MOVE, v:1, k:ed@pilhado, mode:BACK
2026-03-13 19:31:52, MOVE, v:1, k:ed@serial, mode:PICK
2026-03-13 19:49:20, MOVE, v:1, k:ed@serial, mode:BACK
2026-03-13 19:49:26, MOVE, v:1, k:ed@serial, mode:PICK
2026-03-13 19:50:00, MOVE, v:1, k:ed@serial, mode:BACK
2026-03-13 19:50:00, MOVE, v:1, k:ed@formatada, mode:PICK
2026-03-13 19:50:23, MOVE, v:1, k:ed@formatada, mode:BACK
2026-03-13 19:50:32, MOVE, v:1, k:ed@inverter, mode:PICK
2026-03-13 19:50:55, MOVE, v:1, k:ed@inverter, mode:BACK
2026-03-13 19:50:56, MOVE, v:1, k:ed@clonar, mode:PICK
2026-03-13 19:51:21, MOVE, v:1, k:ed@clonar, mode:BACK
2026-03-13 19:51:22, MOVE, v:1, k:ed@soma, mode:PICK
2026-03-13 19:51:52, MOVE, v:1, k:ed@soma, mode:BACK
2026-03-13 19:51:53, MOVE, v:1, k:ed@altura, mode:PICK
2026-03-13 19:52:14, MOVE, v:1, k:ed@altura, mode:BACK
2026-03-13 19:52:15, MOVE, v:1, k:ed@compare, mode:PICK
2026-03-13 19:52:22, MOVE, v:1, k:ed@compare, mode:BACK
2026-03-13 19:54:41, MOVE, v:1, k:ed@arvore-path, mode:PICK
2026-03-13 19:55:08, MOVE, v:1, k:ed@arvore-path, mode:BACK
2026-03-13 19:55:09, MOVE, v:1, k:ed@bst_insert, mode:PICK
2026-03-13 19:55:42, MOVE, v:1, k:ed@bst_insert, mode:BACK
2026-03-13 19:55:43, MOVE, v:1, k:ed@bst_serial, mode:PICK
2026-03-13 19:56:25, MOVE, v:1, k:ed@bst_serial, mode:BACK
2026-03-13 19:56:27, MOVE, v:1, k:ed@bst_remove, mode:PICK
2026-03-13 19:57:00, MOVE, v:1, k:ed@bst_remove, mode:BACK
2026-03-13 22:56:23, MOVE, v:1, k:ed@fib2, mode:DOWN
2026-03-13 22:56:54, MOVE, v:1, k:ed@escada, mode:PICK
2026-03-13 22:57:28, MOVE, v:1, k:ed@escada, mode:BACK
2026-03-13 22:57:29, MOVE, v:1, k:ed@binomiais, mode:PICK
2026-03-13 22:57:51, MOVE, v:1, k:ed@binomiais, mode:BACK
2026-03-13 22:57:52, MOVE, v:1, k:ed@diagonal, mode:PICK
