2026-03-08 00:38:10, MOVE, v:1, k:fup@tres, mode:PICK
2026-03-08 00:38:21, EXEC, v:1, k:fup@tres, mode:FULL, rate:0
2026-03-08 00:39:40, MOVE, v:1, k:fup@tres, mode:BACK
2026-03-08 00:39:43, MOVE, v:1, k:fup@resto, mode:PICK
2026-03-08 00:40:21, MOVE, v:1, k:fup@resto, mode:PICK
2026-03-08 00:43:12, MOVE, v:1, k:fup@resto, mode:BACK
2026-03-08 00:45:03, MOVE, v:1, k:fup@media, mode:PICK
2026-03-08 00:45:07, EXEC, v:1, k:fup@media, mode:FULL, rate:0, size:5
2026-03-08 00:45:34, MOVE, v:1, k:fup@media, mode:BACK
2026-03-08 00:46:03, MOVE, v:1, k:fup@sobrou, mode:PICK
2026-03-08 00:46:25, MOVE, v:1, k:fup@sobrou, mode:BACK
2026-03-08 00:46:58, MOVE, v:1, k:fup@segundos, mode:PICK
2026-03-08 00:47:48, MOVE, v:1, k:fup@segundos, mode:BACK
2026-03-08 00:48:02, MOVE, v:1, k:fup@celsius, mode:PICK
2026-03-08 00:48:45, MOVE, v:1, k:fup@celsius, mode:BACK
2026-03-08 00:49:39, MOVE, v:1, k:fup@pintando, mode:PICK
2026-03-08 00:50:27, MOVE, v:1, k:fup@pintando, mode:BACK
2026-03-08 00:50:30, MOVE, v:1, k:fup@bala, mode:PICK
2026-03-08 00:50:51, MOVE, v:1, k:fup@bala, mode:BACK
2026-03-08 00:57:53, MOVE, v:1, k:fup@abs, mode:PICK
2026-03-08 00:58:25, MOVE, v:1, k:fup@abs, mode:BACK
2026-03-08 00:58:26, MOVE, v:1, k:fup@max, mode:PICK
2026-03-08 00:59:17, MOVE, v:1, k:fup@max, mode:BACK
2026-03-08 00:59:19, MOVE, v:1, k:fup@abs, mode:PICK
2026-03-08 00:59:48, MOVE, v:1, k:fup@abs, mode:BACK
2026-03-08 00:59:50, MOVE, v:1, k:fup@max, mode:PICK
2026-03-08 01:00:20, MOVE, v:1, k:fup@max, mode:BACK
